Round,Year,Month,Day,Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,Temperature,RainAmout
1,2002,12,07,10,23,29,33,37,40,16,5.2,0.0
2,2002,12,14,9,13,21,25,32,42,2,0.0,0.0
3,2002,12,21,11,16,19,21,27,31,30,6.5,0.0
4,2002,12,28,14,27,30,31,40,42,2,-0.9,0.0
5,2003,01,04,16,24,29,40,41,42,3,-10.2,0.2
6,2003,01,11,14,15,26,27,40,42,34,0.6,0.0
7,2003,01,18,2,9,16,25,26,40,42,1.9,0.0
8,2003,01,25,8,19,25,34,37,39,9,0.3,0.0
9,2003,02,01,2,4,16,17,36,39,14,-1.3,0.0
10,2003,02,08,9,25,30,33,41,44,6,4.5,3.0
11,2003,02,15,1,7,36,37,41,42,14,4.0,0.0
12,2003,02,22,2,11,21,25,39,45,44,3.8,19.0
13,2003,03,01,22,23,25,37,38,42,26,6.5,0.5
14,2003,03,08,2,6,12,31,33,40,15,2.6,0.5
15,2003,03,15,3,4,16,30,31,37,13,8.3,0.0
16,2003,03,22,6,7,24,37,38,40,33,9.8,0.0
17,2003,03,29,3,4,9,17,32,37,1,8.0,0.0
18,2003,04,05,3,12,13,19,32,35,29,12.0,0.0
19,2003,04,12,6,30,38,39,40,43,26,10.2,0.0
20,2003,04,19,10,14,18,20,23,30,41,10.3,7.5
21,2003,04,26,6,12,17,18,31,32,21,14.4,0.0
22,2003,05,03,4,5,6,8,17,39,25,18.1,0.0
23,2003,05,10,5,13,17,18,33,42,44,15.9,0.0
24,2003,05,17,7,8,27,29,36,43,6,19.6,0.0
25,2003,05,24,2,4,21,26,43,44,16,20.5,0.5
26,2003,05,31,4,5,7,18,20,25,31,24.1,0.0
27,2003,06,07,1,20,26,28,37,43,27,20.9,0.0
28,2003,06,14,9,18,23,25,35,37,1,20.2,0.5
29,2003,06,21,1,5,13,34,39,40,11,23.5,0.0
30,2003,06,28,8,17,20,35,36,44,4,22.8,0.5
31,2003,07,05,7,9,18,23,28,35,32,25.1,0.0
